customer_id,stock_code,quantity,price,country,customer_age,gender,customer_segment,marketing_channel,category,subcategory,discount_applied,payment_method,delivery_time_days,churn_flag
1,22457,6,2.95,United Kingdom,63,Male,Regular,Referral,Home Decor,Frames,no,Cash,8,active
2,84946,12,1.25,United Kingdom,33,Male,Regular,Ads,Electronics,Gadgets,no,PayPal,8,churned
3,Other,12,1.45,United Kingdom,59,Male,New,Referral,Clothing,Kids,no,PayPal,4,active
4,22423,2,7.5,United Kingdom,72,Female,New,Email,Kitchen,Appliances,yes,Credit Card,9,active
5,22784,3,4.95,United Kingdom,35,Female,Regular,Ads,Kitchen,Storage,no,Cash,4,churned
6,22792,12,0.85,United Kingdom,69,Female,VIP,Organic,Electronics,Cables,no,Credit Card,2,churned
7,22798,8,2.95,United Kingdom,41,Male,VIP,Organic,Kitchen,Storage,no,Credit Card,1,churned
8,22800,4,3.75,United Kingdom,53,Male,New,Email,Stationery,Pens,no,Credit Card,2,churned
9,22801,4,3.75,United Kingdom,40,Male,New,Referral,Home Decor,Lights,no,PayPal,4,churned
10,22943,3,4.95,United Kingdom,22,Male,Regular,Ads,Kitchen,Appliances,no,PayPal,4,churned
11,84754,12,1.25,United Kingdom,65,Female,VIP,Email,Stationery,Books,no,Bank Transfer,3,active
12,22086,6,2.95,United Kingdom,75,Female,New,Referral,Clothing,Men,no,Credit Card,6,active
13,Other,12,1.25,United Kingdom,41,Female,Regular,Organic,Home Decor,Frames,no,PayPal,9,churned
14,Other,6,2.95,United Kingdom,18,Female,New,Ads,Stationery,Art,no,PayPal,9,churned
15,Other,12,1.95,United Kingdom,47,Female,VIP,Referral,Home Decor,Frames,no,Credit Card,1,churned
16,22812,12,1.95,United Kingdom,28,Female,New,Email,Toys,Puzzles,no,Bank Transfer,3,active
17,22585,12,1.25,United Kingdom,48,Female,New,Organic,Stationery,Pens,no,PayPal,7,churned
18,Other,12,1.25,United Kingdom,47,Female,VIP,Ads,Kitchen,Utensils,no,Credit Card,8,active
19,Other,16,0.85,United Kingdom,34,Male,Regular,Email,Kitchen,Storage,no,Bank Transfer,5,churned
20,Other,27,0.42,United Kingdom,41,Female,VIP,Organic,Home Decor,Decor,no,Credit Card,2,active
21,Other,6,2.55,United Kingdom,37,Female,VIP,Organic,Electronics,Accessories,yes,Credit Card,7,churned
22,22892,12,1.25,United Kingdom,36,Female,New,Referral,Stationery,Art,no,Cash,1,active
23,Other,24,0.42,United Kingdom,55,Male,VIP,Organic,Stationery,Art,no,PayPal,9,churned
24,Other,8,4.95,United Kingdom,48,Female,New,Email,Electronics,Accessories,no,Bank Transfer,9,churned
