feature,importance
delivery_time_days,0.16309813113728222
customer_age,0.1393307226298124
price,0.09729356657707179
marketing_channel_Email,0.09465554520931137
category_Electronics,0.08877919086729166
category_Stationery,0.08570416052169763
stock_code_21591,0.08534404664453171
category_Home Decor,0.08343944273800001
stock_code_22694,0.07211415284652348
quantity,0.06050581340349373
subcategory_Frames,0.029735227424933144
customer_segment_VIP,2.8227729019493395e-14
marketing_channel_Referral,2.258218321559472e-14
stock_code_20719,0.0
stock_code_20723,0.0
stock_code_20724,0.0
stock_code_20725,0.0
stock_code_20726,0.0
stock_code_20727,0.0
stock_code_20728,0.0
stock_code_20751,0.0
payment_method_PayPal,0.0
stock_code_20846,0.0
stock_code_20914,0.0
stock_code_20956,0.0
stock_code_20969,0.0
stock_code_20970,0.0
stock_code_20972,0.0
stock_code_20974,0.0
stock_code_20978,0.0
stock_code_20979,0.0
stock_code_20981,0.0
stock_code_21034,0.0
stock_code_21041,0.0
stock_code_21080,0.0
stock_code_21098,0.0
stock_code_21107,0.0
stock_code_21114,0.0
stock_code_21115,0.0
stock_code_21121,0.0
stock_code_21122,0.0
stock_code_21137,0.0
stock_code_21143,0.0
stock_code_21146,0.0
stock_code_21156,0.0
stock_code_21164,0.0
stock_code_21165,0.0
stock_code_21166,0.0
stock_code_21169,0.0
stock_code_21172,0.0
stock_code_21174,0.0
stock_code_21175,0.0
stock_code_21181,0.0
stock_code_21186,0.0
stock_code_21191,0.0
stock_code_21192,0.0
stock_code_21210,0.0
stock_code_21212,0.0
stock_code_21213,0.0
stock_code_21216,0.0
stock_code_21217,0.0
stock_code_21224,0.0
stock_code_21231,0.0
stock_code_21232,0.0
stock_code_21239,0.0
stock_code_21258,0.0
stock_code_21314,0.0
stock_code_21333,0.0
stock_code_21349,0.0
stock_code_21351,0.0
stock_code_21360,0.0
stock_code_21364,0.0
stock_code_21385,0.0
stock_code_21429,0.0
stock_code_21430,0.0
stock_code_21479,0.0
stock_code_21481,0.0
stock_code_21484,0.0
stock_code_21485,0.0
stock_code_21486,0.0
stock_code_21488,0.0
stock_code_21506,0.0
stock_code_21523,0.0
stock_code_21524,0.0
stock_code_21527,0.0
stock_code_21531,0.0
stock_code_21533,0.0
stock_code_21535,0.0
stock_code_21556,0.0
stock_code_21584,0.0
stock_code_21587,0.0
stock_code_21611,0.0
